ABOUT_US|A propos de nous
PASSWORD2|Retapez votre mot de passe
PASSWORD_ARE_NOT_THE_SAME|Les mots de passes ne correspondent pas
PASSWORD_RESETED|Mot de Passe réinitialisé
PASSWORD|Mot de passe
PHONE|Téléphone
PLACEHOLDER_ADDRESS1|num, rue
PLACEHOLDER_ADDRESS2|Bâtiment, étage
PLACEHOLDER_AMOUNT|Montant
PLACEHOLDER_CITY|Ville
PLACEHOLDER_COUNTRY|Pays
PLACEHOLDER_DATEALERT|Date
PLACEHOLDER_DATE|Date
PLACEHOLDER_EMAIL|votrenom@domain.fr
PLACEHOLDER_EXTERNAL_CHECK_ID|n° de chèque ou référence de virement
PLACEHOLDER_FIRSTNAME|Prénom
PLACEHOLDER_LASTNAME|Nom
PLACEHOLDER_PASSWORD2|Resaisissez votre mot de passe
PLACEHOLDER_PASSWORD|Mot de passe
PLACEHOLDER_PHONE|Téléphone
PLACEHOLDER_POSTALCODE|Code postal
PLACEHOLDER_TITLE|le titre
PLEASE_SIGN_IN|Connexion
POSTAL_CODE|Code postal
PREFIX_TITRE_ALERT|Information Importante ! 
PREVIOUS_DONATIONS|Dons précédents
PROFILE|Profile
RAWLINE|Ligne initiale
READ_MORE|Lire la suite
RECREATE_TABLES|Recréer les tables (efface tout)
REGISTER_ACCOUNT|S'inscrire
REGISTER|S'inscrire
REMOVE_UP_TO_DATE|Retirer les éléments à jour
RESET_PASSWORD_FOR_{0}|Réinitialisation du mot de passe pour {0}
RESET_YOUR_PASSWORD|Réinitialiser votre mot de passe
RESUME_OF_PAIEMENT|Résumé du don
ROLE_Administrator|Administrateur
ROLE_NewsLetter|Newsletter
ROLE_Translator|Traducteur
ROLE_Visitor|Visiteur
ROLE|Rôle
SAVED|Enregistré
SAVE_AND_SUBMIT|Sauvegarder et demander la validation
SAVE|Enregistrer
SEARCH|recherche
SECRET_LINE_HELP|Chaîne devant être gardée secrète assurant la sécurité des utilisateurs.
SECRET_LINE|Chaîne secrète
SEND_A_MAIL_AT_{0}|Envoyez-nous un mail à {0}
SEND|Envoyer
SHOW|Rendre public
SIZE_CUSTOM|Taille personnalisée
SIZE|Taille
SOME_LINKS|Quelques liens
STATUS_ARCHIVED|Archivé
STATUS_CANCELLED|Annulé
STATUS_DELETED|Supprimé
STATUS_PROMESS|Promesse de don
STATUS_RECEIVED|Reçu
STATUS_VALIDATED|Validé
STATUS|Statut
SUBSCRIBE_TO_OUR_NEWSLETTER|Abonnez-vous à notre news-letter
SUBSCRIBE_TO_OUR_NEWSLETTER|Inscrivez-vous à notre news-letter
SUBSCRIBE|S'inscrire
SUB_TITLE|Sous-Titre
SUCCESS|OK
TEMPLATE_NAME|Nom du modèle
THIS_TOPIC_DOES_NOT_EXIST|Ce sujet n'existe pas
THIS_USER_DOES_NOT_EXIST|Cet utilisateur n'existe pas
TITLE_CANT_BE_EMPTY|Le titre ne peut pas être vide
TITLE|Titre
TOO_FEW_LINES|Trop peu de lignes
TOP_LEVEL_MENU|[Menu Principal]
TRANSLATION_FIRSTTRANSLATIONTOBEVALIDATED|à valider (première)
TRANSLATION_FROM|Traduction depuis
TRANSLATION_READY|Prêt
TRANSLATION_TOBETRANSLATED|à traduire
TRANSLATION_TO|Traduction vers
TRANSLATION_TRANSLATIONTOBEUPDATED|à mettre à jour
TRANSLATION_TRANSLATIONTOBEVALIDATED|à valider
TRANSLATION|Traduction
TYPE_PAYMENT_cb|Carte-Bleue
TYPE_PAYMENT_chq|Chèque
TYPE_PAYMENT_vir|Virement
TYPE_PAYMENT|Moyen de paiement
TYPE|Type
UPDATE_ALL|Tout mettre à jour
UPDATE_USER_INFO|Corriger
UPDATE|Mettre à jour
UPLOAD|Télécharger
USEFUL_LINKS|Liens utiles
USERORIGIN_External|Externe
USERORIGIN_NewsLetter|Newsletter
USERORIGIN_Payment|Paiement
USERORIGIN_Register|Enregistrement
USERS_LIST|List des utilisateurs
USER_DOES_NOT_EXISTS|L'utilisateur n'existe pas
USER_EXISTS|L'utilisateur existe déjà
USER_MANAGEMENT|Gestion des Utilisateurs
USER_ORIGIN|Origine de l'utilisateur
VALIDATE|Valider
WARNING|Attention 
WIDTH|Largeur
WRONG_PASSWORD1|Erreur de mot de passe
WRONG_PASSWORD2|Erreur de mot de passe
YOU_CAN_ONLY_ARCHIVE_VALIDATED_DONATION|Vous ne pouvez archiver que des dons validés
YOU_HAVE_BEEN_UNSUBSCRIBED_FROM_NEWSLETTER|Vous avez été désinscrit de la newsletter
YOU_HAVE_SUBSCRIBE_TO_NEWS_LETTER|Vous êtes inscrit à notre newsletter
A_USER_WITH_THE_SAME_EMAIL_ALREADY_EXISTS_SELECT_I_HAVE_AN_ACCOUNT|Un utilisateur avec la même adresse email existe déjà
YOU_HAVE_ALREADY_SUBSCRIBE_TO_NEWSLETTER|Vous êtes déjà inscrit à notre newsletter
MODIFY_USER_INFO|Modifer
MODIFY_USER_PASSWORD|Changer de mot de passe
MAINTENANCEPAGE_FORCE_HELP|Vous pouvez forcer le mode "non maintenance" pour vous permettre de tester le site comme s'il n'était pas en maintenance. Ce test n'est actif que sur l'ordinateur ou vous l'activez et pendant une heure. Une fois ce délai passé, le site se comporte à nouveau dans son mode standard.
UNACTIVATE|Désactiver
MAINTENANCEPAGE_FORCE_ACTIVE|Le forçage à non-maintenance est actif sur ce PC.
MAINTENANCEPAGE_FORCE_INACTIVE|Le forçage à non-maintenance est inactif sur ce PC.
ERROR_FIELDS_ARE_MISSING|champs manquants
ERROR_INVALID_EMAIL|adresse mail invalide
ERROR_EMAIL_TWICE|adresse mail en double
ERROR_WHILE_UPLOADING|erreur pendant la mise à jour
TO_UPDATE|à mettre à jour
UP_TO_DATE|à jour
PASSWORDS_ARE_NOT_THE_SAME|Les mots de passe ne sont pas identiques
PASSWORD_IS_TOO_SHORT|Le mot de passe choisi est trop court
TITLEKEY|Clé
DONATION_WORKFLOW|Séquence des dons
SELECT_FILES|Parcourir...
ERROR_ACTION_UNKOWN|Action inconnue.
RESET|Réinitialiser
